,Unnamed: 0,Datetime,Tweet Id,Text,Username
108,108,2019-09-18 12:09:39+00:00,1174294411838013440,engga ini maksud aku gimana mereka dapet uang kalo kuhp ngeluarin sex yang bukan dalam pernikahan di pidana minimal 1 tahun dan denda gimana mereka makan kalo mereka tetep nerusin mereka bisa dipenjara,seulgiesss
109,109,2019-09-18 12:01:23+00:00,1174292328611119104,Yg bikin kuhp nya jga emg ga pada seks luar nikah lol,ayamgeprek1999
110,110,2019-09-18 11:58:12+00:00,1174291527415169024,btul skli theres a lot of problem yg masih blm bs diselesaikan atauuu blm nemu jalan keluarnya tp knp malah pilih bkin kuhp macam gini huhu i just dont get it ngewe adalah pilihan pribadi orang orang,swextdemon
111,111,2019-09-18 11:54:28+00:00,1174290588671168512,theres a lot of problem di Indonesia yg belum well tp kenapa malah pilih kuhp yg berkaitan dgn selangkangan orang,swextdemon
112,112,2019-09-18 11:53:53+00:00,1174290443330154496,imo Beside dilarang agama kegiatan sexual itu hak pribadi masing masing Mau ngeue tp kalo consent kan jg gaada pihak yg dirugikan KECUALI kalau korban rapist nah ini yg harusnya dibikin KUHP,swextdemon
113,113,2019-09-18 11:49:35+00:00,1174289360683847680,Revisi UU KPK down RUU KUHP Kontroversi Capim KPK down,umaruuma19
114,114,2019-09-18 11:48:34+00:00,1174289105519202304,Tp kalo gue baca di kuhp lama udah ada kalo salah Cuman yg bikin masalah penerapannya sih ditambah pasal penghinaan presiden,lapconq
115,115,2019-09-18 11:45:16+00:00,1174288272362635271,Hati2 bang besok2 kalo mengeritik kena KUHP yg baru,RiskyArafah
116,116,2019-09-18 11:41:35+00:00,1174287348718174208,heryanto DPR periode ini sepertinya mau meninggalkan LEGACY besar dengan UU KUHP baru mengganti KUHP peninggalan Belanda PR besar di MK Perbaiki satu persatu heryanto id Pndj,Verbum_Ang
117,117,2019-09-18 11:40:18+00:00,1174287024179691520,Jgn ada uu kuhp Bisa dipidana,abangoleh
118,118,2019-09-18 11:39:34+00:00,1174286839160528902,Revisi KUHP mbak di dalamnya banyak banget pasal karet Contohnya udah aku sebut di atas sementara pada 2006 pasal penghinaan presiden itu dihapuskan oleh MK karena sifatnya subjektif rentan disalah gunakan untuk membungkam suara,Coretanditoilet
119,119,2019-09-18 11:16:59+00:00,1174281155945754625,RUU PKS Tidak membahas pelegalan zina tentang zina sudah diatur di KUHP Pasal 284 yang dirumuskan sebagai kejahatan dalam perkawinan dan merupakan delik aduan bila terjadi selingkuh setelah menikah sampe sini paham ughteaa Makanya kalo diajak diskusi ormek lain jangan kabur2,InYourDre_am
120,120,2019-09-18 11:10:34+00:00,1174279540291469313,Bang RUU KUHP tlg dipelototin jga,KenikoSpacy
121,121,2019-09-18 11:03:17+00:00,1174277707221258240,Kalau misalnya si fahri sama si daniel ketahuan ml gimana Kena pasal kuhp yg baru ngak,masuyung
122,122,2019-09-18 11:02:12+00:00,1174277437699477504,Kalau dari hasil diskusi aku sama temenku yg menentang sih kak menurut pihak kontra ada beberapa pasal ruu pks yg ada celahnya kayak yg pasal pemaksaan hubungan seksual nah menurut mereka kalau ga dipaksa ya ga kena hukum dong Padahal pasal soal zina ada di pasal 284 KUHP udah,syeonkundery
123,123,2019-09-18 10:49:24+00:00,1174274215387783170,inuu Kerjaannya ada liat tuh revisi uu kpk sama kuhp,bayunoviza
124,124,2019-09-18 10:47:52+00:00,1174273827737673729,Menentang komunisme tapi gaya pemerintahan mirip komunisme Apa apa dilarang RUU KUHP ini seperti hukum moral sih menurut gue,apaituindie
125,125,2019-09-18 10:44:34+00:00,1174272997735223302,kan masih ada uu kesehatan kalo kuhp lex generalis bilang aborsi bisa dipidana tapi masih ada uu kesehatan lex spesialis yang rinciannya memperbolehkan dengan syarat tertentu termasuk hasil pemerkosaan jadi tenang wan maneh ga harus bundir,thetaterthot
126,126,2019-09-18 10:39:12+00:00,1174271648658264064,ada peraturan tentang itu juga kok di KUHP,youngbojes
127,127,2019-09-18 10:36:19+00:00,1174270920883658752,Meh dilaporke ng kuhp sek ra mas fikeeek Wong magelang to mas dikau,agnessint_
128,128,2019-09-18 10:35:29+00:00,1174270711369740289,KUHP yg sekarang sdh berusia 101 thn disahkan pada 1915 tetapi RKUHP yg baru justru mundur berabad abad,danielht2009
129,129,2019-09-18 10:27:33+00:00,1174268715367567360,Ga di KUHP sekarang Pasal 106 Makar dengan maksud supaya seluruh atau sebagian wilayah negara jatuh ke tangan musuh atau memisahkan sebagian dari wilayah negara diancam dengan pidana penjara seumur hidup atau pidana penjara sementara paling lama dua puluh tahun,mitatweets
130,130,2019-09-18 10:19:00+00:00,1174266565593837569,Indonesia RUU KUHP Exist Wonderful Indonesia BeCareful Indonesia bacotsantuy,whyapxx
131,131,2019-09-18 10:11:09+00:00,1174264587841155072,kalau RUU KUHP jadi disahkan apakah anda akan tutup akun,besokmasihbisa
132,132,2019-09-18 10:10:52+00:00,1174264519901810688,rom Boleh minta draft ruu kuhp nya gak Pengen baca,aesburst
133,133,2019-09-18 10:09:58+00:00,1174264291073122305,Bisa di gugurin kalo sekarang Kecuali RKUHP nyaa di sahkan oleh DPR Artinya KUHP sudah tidak berlaku lagii Semangat untuk anak perempuan 16 tahun,Tsubasa0zorro
134,134,2019-09-18 10:09:46+00:00,1174264243060903936,Ya hrs konsisten dong buat yg kmr framing taliban kpk Faktanya pada diam atau setengah hati kan Ini KUHP loh Spektrumnya lbh luas daripada kasus korupsi,Takviri
